Time,PositionX,PositionY,PositionZ,Speed,SteeringAngle
4.64,476.8072,42.02559,229.2004,2.742311,0.02892539
4.66,476.8109,42.02354,229.255,2.760443,0.02908758
4.68,476.8147,42.02149,229.31,2.778466,0.02974282
4.683652,476.8185,42.01945,229.3653,2.796371,0.0001192319
4.7,476.8185,42.01945,229.3653,2.796371,0.03038367
4.72,476.8223,42.01741,229.4209,2.81438,0.03124456
4.74,476.8261,42.01537,229.4769,2.832385,0.03194503
4.76,476.83,42.01333,229.5333,2.850394,0.03253468
4.78,476.834,42.0112,229.59,2.869138,0.03110402
4.790224,476.838,42.00903,229.6472,2.887912,-5.378057E-06
4.8,476.838,42.00903,229.6472,2.887912,0.03066367
4.82,476.8419,42.00676,229.7047,2.907439,0.02665166
4.84,476.8459,42.0044,229.7627,2.926996,0.02474747
4.854943,476.8498,42.00198,229.8211,2.946558,0.0001309969
4.86,476.8498,42.00198,229.8211,2.946558,0.02326023
4.88,476.8538,41.9995,229.8799,2.966118,0.02213771
4.9,476.8579,41.99697,229.9391,2.98569,0.0213784
4.92,476.8619,41.99438,229.9987,3.005263,0.02081409
4.94,476.866,41.99176,230.0587,3.024828,0.02048579
4.96,476.8701,41.98911,230.1191,3.044398,0.02034775
4.965655,476.8743,41.98643,230.1799,3.063975,0.0009884242
4.98,476.8743,41.98643,230.1799,3.063975,0.02036249
5,476.8784,41.98372,230.241,3.083542,0.02048501
5.018179,476.8826,41.98099,230.3026,3.10311,0.001293224
5.02,476.8826,41.98099,230.3026,3.10311,0.02071486
5.04,476.8868,41.97824,230.3645,3.122783,0.0205479
5.06,476.8912,41.9754,230.4268,3.143054,0.02332772
5.08,476.8956,41.9725,230.4895,3.163358,0.02550195
5.1,476.8999,41.96947,230.5526,3.1845,0.02806814
5.12,476.9043,41.96632,230.616,3.205676,0.03043063
5.124789,476.9086,41.96307,230.6798,3.227086,0.0004659001
5.14,476.9086,41.96307,230.6798,3.227086,0.03168792
5.16,476.913,41.95972,230.7441,3.248502,0.03279051
5.18,476.9174,41.9563,230.8087,3.269912,0.03375373
5.183574,476.9218,41.9528,230.8738,3.291329,0.000400809
5.2,476.9218,41.9528,230.8738,3.291329,0.03447372
5.22,476.9262,41.94925,230.9393,3.312744,0.03508023
5.24,476.9307,41.94564,231.0052,3.334158,0.03556558
5.26,476.9352,41.942,231.0715,3.355573,0.03593602
5.28,476.9398,41.93832,231.1383,3.376981,0.03626614
5.29119,476.9444,41.93462,231.2054,3.398389,0.0006382604
5.3,476.9444,41.93462,231.2054,3.398389,0.03650766
5.32,476.949,41.9309,231.273,3.419796,0.03674037
5.34,476.9536,41.92716,231.341,3.4412,0.03692567
5.350442,476.9583,41.9234,231.4095,3.462605,0.0008118135
5.36,476.9583,41.9234,231.4095,3.462605,0.03710631
5.38,476.963,41.91963,231.4783,3.48399,0.03843531
5.4,476.9677,41.91586,231.5476,3.505295,0.03857371
5.42,476.9726,41.91194,231.6173,3.527527,0.03533868
5.44,476.9774,41.90791,231.6876,3.550565,0.03096508
5.457759,476.9822,41.90376,231.7584,3.573617,0.0005992462
5.46,476.9822,41.90376,231.7584,3.573617,0.02765894
5.48,476.987,41.8995,231.8297,3.596674,0.02509463
5.5,476.9919,41.89515,231.9014,3.619746,0.02306074
5.517866,476.9968,41.89072,231.9736,3.642824,0.0006720333
5.52,476.9968,41.89072,231.9736,3.642824,0.02151655
5.54,477.0017,41.88622,232.0463,3.665905,0.02045539
5.56,477.0067,41.88165,232.1195,3.688984,0.01972764
5.58,477.0117,41.87703,232.1932,3.712074,0.01930196
5.6,477.0167,41.87237,232.2673,3.735159,0.01912128
5.62,477.0218,41.86767,232.3418,3.758243,0.01917286
5.625991,477.0269,41.86293,232.4168,3.781331,0.001010917
5.64,477.0269,41.86293,232.4168,3.781331,0.01931575
5.66,477.0322,41.85805,232.4922,3.805011,0.02510445
5.68,477.0374,41.85301,232.5681,3.829437,0.02849384
5.684635,477.0426,41.84783,232.6443,3.853993,0.0005232763
5.7,477.0426,41.84783,232.6443,3.853993,0.03245244
5.72,477.0479,41.84253,232.721,3.878597,0.03459709
5.74,477.0532,41.83712,232.7981,3.903193,0.0365672
5.76,477.0585,41.83162,232.8758,3.927797,0.03819637
5.78,477.0638,41.82606,232.9538,3.952396,0.03954007
5.791939,477.0692,41.82043,233.0324,3.976988,0.0002244485
5.8,477.0692,41.82043,233.0324,3.976988,0.04056476
5.82,477.0746,41.81474,233.1114,4.001579,0.04138125
5.84,477.08,41.80902,233.1909,4.02617,0.04205829
5.851852,477.0855,41.80325,233.2709,4.050761,0.0001793361
5.86,477.0855,41.80325,233.2709,4.050761,0.0425118
5.88,477.0909,41.79745,233.3514,4.075346,0.04292186
5.9,477.0965,41.79162,233.4323,4.100012,0.04359075
5.92,477.1021,41.78576,233.5138,4.124689,0.04415162
5.94,477.1078,41.77976,233.5957,4.150182,0.04262795
5.96,477.1135,41.77368,233.6782,4.175643,0.04131216
5.960402,477.1191,41.7674,233.7613,4.201806,-0.0007225501
5.98,477.1191,41.7674,233.7613,4.201806,0.03352428
6,477.1248,41.76096,233.845,4.228106,0.03062468
6.018401,477.1305,41.75441,233.9292,4.254419,-0.0006984397
6.02,477.1305,41.75441,233.9292,4.254419,0.02823331
6.04,477.1362,41.74774,234.014,4.280745,0.02635432
6.06,477.1419,41.74097,234.0993,4.307068,0.02503664
6.08,477.1477,41.73412,234.1851,4.333402,0.02397005
6.1,477.1535,41.72719,234.2715,4.359738,0.02336387
6.12,477.1594,41.7202,234.3584,4.386071,0.02302773
6.127146,477.1653,41.7131,234.4458,4.412827,0.000244786
6.14,477.1653,41.7131,234.4458,4.412827,0.02500159
6.16,477.1714,41.7059,234.5337,4.439629,0.0270942
6.18,477.1774,41.69853,234.6221,4.466953,0.03071307
